335	1790480	15195
336	1805675	17985
337	1823660	11147
338	1834807	12666
339	1847473	1201
340	1848674	5648
341	1854322	4151
342	1858473	5182
343	1863655	18817
344	1882472	5521
345	1887993	5422
346	1893415	17798
347	1911213	211
348	1911424	216
349	1911640	208
350	1911848	221
351	1912069	235
352	1912304	233
353	1912537	213
354	1912750	235
355	1912985	221
356	1913206	227
357	1913433	4463
358	1917896	11832
359	1929728	13905
360	1943633	3584
361	1947217	1707
362	1948924	610
363	1949534	13925
364	1963459	13450
365	1976909	7538
366	1984447	29570
367	2014017	2069
368	2016086	896
369	2016982	2429
370	2019411	1847
371	2021258	2741
372	2023999	3317
373	2027316	2008
374	2029324	2383
375	2031707	1670
376	2033377	2390
377	2035767	1684
378	2037451	1675
379	2039126	1341
380	2040467	5119
381	2045586	1527
382	2047113	3560
383	2050673	2318
384	2052991	1307
385	2054298	3632
386	2057930	2159
387	2060089	4701
388	2064790	291
389	2065081	280
390	2065361	291
391	2065652	304
392	2065956	290
393	2066246	308
394	2066554	90
395	2066644	90
396	2066734	308
397	2067042	307
398	2067349	337
399	2067686	296
400	2067982	361
401	2068343	289
402	2068632	300
403	2068932	281
404	2069213	289
405	2069502	299
406	2069801	313
407	2070114	274
408	2070388	274
409	2070662	331
410	2070993	295
411	2071288	257
412	2071545	295
413	2071840	292
414	2072132	322
415	2072454	325
416	2072779	11129
417	2083908	3373
418	2087281	7828
419	2095109	5370
420	2100479	11547
421	2112026	5221
422	2117247	16196
423	2133443	8039
424	2141482	11435
425	2152917	19992
426	2172909	9239
427	2182148	18433
428	2200581	2258
429	2202839	13022
430	2215861	10751
431	2226612	6981
432	2233593	24114
433	2257707	24087
434	2281794	7381
435	2289175	12595
436	2301770	4463
437	2306233	11832
438	2318065	13905
439	2331970	3584
440	2335554	1707
441	2337261	610
442	2337871	13925
443	2351796	13450
444	2365246	7538
445	2372784	29570
